idx,B1_nominal,B1_plot_x,rel_pixel,orig,fit_at_orig,pchip_at_orig,corr
1,0.35,0.35,1.84730718764032,0.923457086086273,0.920819739242769,0.923457086086273,0.985166592585789
2,0.65,0.65,1.84730718764032,0.811529040336609,0.818504623974642,0.811529040336609,0.921956246032368
3,0.95,0.95,1.84730718764032,0.741159200668335,0.736058809669846,0.741159200668335,0.858862882690627
4,1.25,1.25,1.84730718764032,0.642326414585114,0.642149833042012,0.642326414585114,0.806060482286092
5,1.55,1.55,1.84730718764032,0.535051047801971,0.535989783549034,0.535051047801971,0.766430490322888
